energy_width,exact_no_truncation,detected_bin,matches_reference_bin,best_energy_at_detected_bin,reference_bin_truncated_energy,reference_best_energy_error,max_reference_energy_bits
238,1,3,1,2926974856033640715,2926974856033640715,0,62
239,1,3,1,2926974856033640715,2926974856033640715,0,62
240,1,3,1,2926974856033640715,2926974856033640715,0,62
241,1,3,1,2926974856033640715,2926974856033640715,0,62
242,1,3,1,2926974856033640715,2926974856033640715,0,62
243,1,3,1,2926974856033640715,2926974856033640715,0,62
244,1,3,1,2926974856033640715,2926974856033640715,0,62
245,1,3,1,2926974856033640715,2926974856033640715,0,62
246,1,3,1,2926974856033640715,2926974856033640715,0,62
247,1,3,1,2926974856033640715,2926974856033640715,0,62
248,1,3,1,2926974856033640715,2926974856033640715,0,62
249,1,3,1,2926974856033640715,2926974856033640715,0,62
250,1,3,1,2926974856033640715,2926974856033640715,0,62
251,1,3,1,2926974856033640715,2926974856033640715,0,62
252,1,3,1,2926974856033640715,2926974856033640715,0,62
253,1,3,1,2926974856033640715,2926974856033640715,0,62
254,1,3,1,2926974856033640715,2926974856033640715,0,62
255,1,3,1,2926974856033640715,2926974856033640715,0,62
256,1,3,1,2926974856033640715,2926974856033640715,0,62
