design,period_ns,frequency_mhz,derived_wns_ns,pass,derived_min_period_ns,derived_fmax_mhz,base_clock_period_ns,base_wns_ns,data_path_delay_ns,logic_levels,startpoint,endpoint
pipelined_plus5_firout_tracker,9.500,105.263,1.175,PASS,8.325,120.120,10.000,1.675,7.813,1,u_impl/u_mag/valid_out_reg/C,u_impl/u_accumulator/running_energy_reg[124]/R
pipelined_plus5_firout_tracker,9.000,111.111,0.675,PASS,8.325,120.120,10.000,1.675,7.813,1,u_impl/u_mag/valid_out_reg/C,u_impl/u_accumulator/running_energy_reg[124]/R
pipelined_plus5_firout_tracker,8.500,117.647,0.175,PASS,8.325,120.120,10.000,1.675,7.813,1,u_impl/u_mag/valid_out_reg/C,u_impl/u_accumulator/running_energy_reg[124]/R
pipelined_plus5_firout_tracker,8.000,125.000,-0.325,FAIL,8.325,120.120,10.000,1.675,7.813,1,u_impl/u_mag/valid_out_reg/C,u_impl/u_accumulator/running_energy_reg[124]/R
pipelined_plus5_firout_tracker,7.500,133.333,-0.825,FAIL,8.325,120.120,10.000,1.675,7.813,1,u_impl/u_mag/valid_out_reg/C,u_impl/u_accumulator/running_energy_reg[124]/R
pipelined_plus5_firout_accbuf,25.000,40.000,17.254,PASS,7.746,129.099,10.000,2.254,7.534,1,u_impl/u_mag/q_square0/CLK,u_impl/u_mag/q_square_reg[5]/D
pipelined_plus5_firout_accbuf,20.000,50.000,12.254,PASS,7.746,129.099,10.000,2.254,7.534,1,u_impl/u_mag/q_square0/CLK,u_impl/u_mag/q_square_reg[5]/D
pipelined_plus5_firout_accbuf,15.000,66.667,7.254,PASS,7.746,129.099,10.000,2.254,7.534,1,u_impl/u_mag/q_square0/CLK,u_impl/u_mag/q_square_reg[5]/D
pipelined_plus5_firout_accbuf,12.500,80.000,4.754,PASS,7.746,129.099,10.000,2.254,7.534,1,u_impl/u_mag/q_square0/CLK,u_impl/u_mag/q_square_reg[5]/D
pipelined_plus5_firout_accbuf,11.000,90.909,3.254,PASS,7.746,129.099,10.000,2.254,7.534,1,u_impl/u_mag/q_square0/CLK,u_impl/u_mag/q_square_reg[5]/D
pipelined_plus5_firout_accbuf,10.000,100.000,2.254,PASS,7.746,129.099,10.000,2.254,7.534,1,u_impl/u_mag/q_square0/CLK,u_impl/u_mag/q_square_reg[5]/D
pipelined_plus5_firout_accbuf,9.500,105.263,1.754,PASS,7.746,129.099,10.000,2.254,7.534,1,u_impl/u_mag/q_square0/CLK,u_impl/u_mag/q_square_reg[5]/D
pipelined_plus5_firout_accbuf,9.000,111.111,1.254,PASS,7.746,129.099,10.000,2.254,7.534,1,u_impl/u_mag/q_square0/CLK,u_impl/u_mag/q_square_reg[5]/D
pipelined_plus5_firout_accbuf,8.500,117.647,0.754,PASS,7.746,129.099,10.000,2.254,7.534,1,u_impl/u_mag/q_square0/CLK,u_impl/u_mag/q_square_reg[5]/D
pipelined_plus5_firout_accbuf,8.000,125.000,0.254,PASS,7.746,129.099,10.000,2.254,7.534,1,u_impl/u_mag/q_square0/CLK,u_impl/u_mag/q_square_reg[5]/D
pipelined_plus5_firout_accbuf,7.500,133.333,-0.246,FAIL,7.746,129.099,10.000,2.254,7.534,1,u_impl/u_mag/q_square0/CLK,u_impl/u_mag/q_square_reg[5]/D
pipelined_plus5_firout_accbuf_magpipe,25.000,40.000,17.156,PASS,7.844,127.486,10.000,2.156,7.568,18,u_impl/bin_energy_buf_reg[0]/C,u_impl/gen_regular_tracker.u_tracker/best_energy_reg[0]_lopt_replica/CE
pipelined_plus5_firout_accbuf_magpipe,20.000,50.000,12.156,PASS,7.844,127.486,10.000,2.156,7.568,18,u_impl/bin_energy_buf_reg[0]/C,u_impl/gen_regular_tracker.u_tracker/best_energy_reg[0]_lopt_replica/CE
pipelined_plus5_firout_accbuf_magpipe,15.000,66.667,7.156,PASS,7.844,127.486,10.000,2.156,7.568,18,u_impl/bin_energy_buf_reg[0]/C,u_impl/gen_regular_tracker.u_tracker/best_energy_reg[0]_lopt_replica/CE
pipelined_plus5_firout_accbuf_magpipe,12.500,80.000,4.656,PASS,7.844,127.486,10.000,2.156,7.568,18,u_impl/bin_energy_buf_reg[0]/C,u_impl/gen_regular_tracker.u_tracker/best_energy_reg[0]_lopt_replica/CE
pipelined_plus5_firout_accbuf_magpipe,11.000,90.909,3.156,PASS,7.844,127.486,10.000,2.156,7.568,18,u_impl/bin_energy_buf_reg[0]/C,u_impl/gen_regular_tracker.u_tracker/best_energy_reg[0]_lopt_replica/CE
pipelined_plus5_firout_accbuf_magpipe,10.000,100.000,2.156,PASS,7.844,127.486,10.000,2.156,7.568,18,u_impl/bin_energy_buf_reg[0]/C,u_impl/gen_regular_tracker.u_tracker/best_energy_reg[0]_lopt_replica/CE
pipelined_plus5_firout_accbuf_magpipe,9.500,105.263,1.656,PASS,7.844,127.486,10.000,2.156,7.568,18,u_impl/bin_energy_buf_reg[0]/C,u_impl/gen_regular_tracker.u_tracker/best_energy_reg[0]_lopt_replica/CE
pipelined_plus5_firout_accbuf_magpipe,9.000,111.111,1.156,PASS,7.844,127.486,10.000,2.156,7.568,18,u_impl/bin_energy_buf_reg[0]/C,u_impl/gen_regular_tracker.u_tracker/best_energy_reg[0]_lopt_replica/CE
pipelined_plus5_firout_accbuf_magpipe,8.500,117.647,0.656,PASS,7.844,127.486,10.000,2.156,7.568,18,u_impl/bin_energy_buf_reg[0]/C,u_impl/gen_regular_tracker.u_tracker/best_energy_reg[0]_lopt_replica/CE
pipelined_plus5_firout_accbuf_magpipe,8.000,125.000,0.156,PASS,7.844,127.486,10.000,2.156,7.568,18,u_impl/bin_energy_buf_reg[0]/C,u_impl/gen_regular_tracker.u_tracker/best_energy_reg[0]_lopt_replica/CE
pipelined_plus5_firout_accbuf_magpipe,7.500,133.333,-0.344,FAIL,7.844,127.486,10.000,2.156,7.568,18,u_impl/bin_energy_buf_reg[0]/C,u_impl/gen_regular_tracker.u_tracker/best_energy_reg[0]_lopt_replica/CE
pipelined_plus5_firout_accbuf_trackercmp,25.000,40.000,16.872,PASS,8.128,123.031,10.000,1.872,8.133,16,u_impl/gen_fir_outreg.u_fir_q/final_sum_reg_reg[0]/C,u_impl/gen_fir_outreg.u_fir_q/sample_out_reg[47]/D
pipelined_plus5_firout_accbuf_trackercmp,20.000,50.000,11.872,PASS,8.128,123.031,10.000,1.872,8.133,16,u_impl/gen_fir_outreg.u_fir_q/final_sum_reg_reg[0]/C,u_impl/gen_fir_outreg.u_fir_q/sample_out_reg[47]/D
pipelined_plus5_firout_accbuf_trackercmp,15.000,66.667,6.872,PASS,8.128,123.031,10.000,1.872,8.133,16,u_impl/gen_fir_outreg.u_fir_q/final_sum_reg_reg[0]/C,u_impl/gen_fir_outreg.u_fir_q/sample_out_reg[47]/D
pipelined_plus5_firout_accbuf_trackercmp,12.500,80.000,4.372,PASS,8.128,123.031,10.000,1.872,8.133,16,u_impl/gen_fir_outreg.u_fir_q/final_sum_reg_reg[0]/C,u_impl/gen_fir_outreg.u_fir_q/sample_out_reg[47]/D
pipelined_plus5_firout_accbuf_trackercmp,11.000,90.909,2.872,PASS,8.128,123.031,10.000,1.872,8.133,16,u_impl/gen_fir_outreg.u_fir_q/final_sum_reg_reg[0]/C,u_impl/gen_fir_outreg.u_fir_q/sample_out_reg[47]/D
pipelined_plus5_firout_accbuf_trackercmp,10.000,100.000,1.872,PASS,8.128,123.031,10.000,1.872,8.133,16,u_impl/gen_fir_outreg.u_fir_q/final_sum_reg_reg[0]/C,u_impl/gen_fir_outreg.u_fir_q/sample_out_reg[47]/D
